,id,time,link,message,like,share,comment,commentsHighlight
0,1282973728458676_2321541194601919,1564727400,https://www.facebook.com/CH3Thailand/videos/590315248161089/,อย่าโกรธแม่เลยที่ต้องขายเอ็ง 😭😭  ดูย้อนหลัง #สัตยาธิษฐานep1 ได้ที่นี่ https://www.ch3thailand.com/news/scoop/17286 #สัตยาธิษฐาน #Ch3Thailand,26,0,0,[]
1,1282973728458676_2321538554602183,1564725600,https://www.facebook.com/CH3Thailand/videos/757231684679383/,"แอคชั่นจัดเต็ม แถมยังซึ้งด้วยฉากหวานๆ มาดูเบื้องหลัง ""ลิขิตแห่งจันทร์"" พร้อมฟังนักแสดงเล่าเรื่องสนุกๆ ในกองถ่ายกันค่ะ ติดตาม เปิดกองวิก 3 ""ลิขิตแห่งจันทร์"" วันพรุ่งนี้ เวลา 09.15 น. ทาง #ช่อง33 #Ch3Thailand",81,0,3,"[{'id': 'Y29tbWVudDoyMzIxNTM4NTU0NjAyMTgzXzIzMjE2MDEwNDc5MjkyNjc=', 'time': 1564727142, 'message': 'เมื่อไรจะออกอากาศ', 'like': 0}]"
2,1282973728458676_2321514967937875,1564723800,https://www.facebook.com/CH3Thailand/videos/2731008080265531/,"""มึงร้องไห้ทำไม ถ้ามึงไหว"" ทดได้กลายเป็นทาสตั้งแต่ยังเด็ก ดูย้อนหลัง #สัตยาธิษฐานep1 ได้ที่นี่ https://www.ch3thailand.com/news/scoop/17286 #สัตยาธิษฐาน #Ch3Thailand",959,23,5,"[{'id': 'Y29tbWVudDoyMzIxNTE0OTY3OTM3ODc1XzIzMjE1ODc3NDQ1OTcyNjQ=', 'time': 1564726527, 'message': 'ภาพป้อเจ้า ยังติดตาอยู่เลยเน้อ', 'like': 0}, {'id': 'Y29tbWVudDoyMzIxNTE0OTY3OTM3ODc1XzIzMjE2MDI3MDEyNjI0MzU=', 'time': 1564727254, 'message': 'โหหหรัดทดจิงๆพระเอกของฉันนน', 'like': 0}]"
3,1282973728458676_2321506471272058,1564722300,https://www.facebook.com/CH3Thailand/posts/2321506471272058,รื้อกระเป๋า “ทรงเผ่า” ส่อง 7 ไอเทมเด็ด มีอะไรบ้างมาดูกันค่ะ https://www.ch3thailand.com/news/scoop/17290 ติดตาม “แก้วกลางดง” ทุกวันศุกร์ เวลา 20.20 น. เสาร์และอาทิตย์ เวลา 20.15 น. ช่อง 33,142,3,3,"[{'id': 'Y29tbWVudDoyMzIxNTA2NDcxMjcyMDU4XzIzMjE1NzQzOTc5MzE5MzI=', 'time': 1564725610, 'message': 'ฉันเป็นคนกัมพูชาตอนนี้กำลังอยู่ประเทศกัมพูชาแต่ฉันขอไห้น้กนิเขียนโทรทัศน์ช่อง3มีสุขภาพดีคะอายุยี่งยืนนานคะ', 'like': 0}]"
4,1282973728458676_2321488611273844,1564720597,https://www.facebook.com/CH3Thailand/videos/2483946391933980/,ไม่ยอมพูดเพื่อให้ใครมีความผิด แต่ยอมที่จะโดนเฆี่ยนเองทดใจเด็ดจริงๆ ค่ะ ดูย้อนหลัง #สัตยาธิษฐานep1 ได้ที่นี่ https://www.ch3thailand.com/news/scoop/17286 #สัตยาธิษฐาน #Ch3Thailand,1487,41,12,"[{'id': 'Y29tbWVudDoyMzIxNDg4NjExMjczODQ0XzIzMjE1MTQxNTQ2MDQ2MjM=', 'time': 1564721898, 'message': 'ตอนแรกก็ชอบแล้ว สนุกค่ะ', 'like': 1}, {'id': 'Y29tbWVudDoyMzIxNDg4NjExMjczODQ0XzIzMjE1ODEwNTc5MzEyNjY=', 'time': 1564726083, 'message': 'เห็นหน้านายแคว้นละอยากปิดทีวีหนี\nแต่พอให้อภัยได้ แลกหน้าอกพี่สน 😁😁😁 เราไม่ได้โฟกัสที่หัวนมชมพูเลย จริงจริ๊งงงงงง  😂😂😂', 'like': 0}]"
5,1282973728458676_2321440154612023,1564717732,https://www.facebook.com/CH3Thailand/posts/2321440154612023,"""ลูกเผชิญวิบากแดนมนุษย์ ซู่จิ่นทำหุ่นไม้นี้มายั่วยวนข้า ไม่รู้ยึดตามกฎเกณฑ์เผ่าเทพ ท่านพ่อคิดว่าควรลงโทษสถานใด"" ดูย้อนหลัง สามชาติสามภพ ป่าท้อสิบหลี่ EP.71 | 30-07-62 https://www.ch3thailand.com/news/scoop/17287 #สามชาติสามภพป่าท้อสิบหลี่ #Ch3Thailand",112,3,0,[]
6,1282973728458676_2321387494617289,1564715253,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2321385334617505/?type=3,เรื่องราวในอดีตพาให้เขาและเธอกับมาเจอกัน 📌ชม #สัตยาธิษฐาน ย้อนหลังที่แรกก่อนใคร👉 http://bit.ly/315nNT7 #MelloThailand #Ch3Thailand #ช่อง3 #ช่อง33,593,12,10,"[{'id': 'Y29tbWVudDoyMzIxMzg3NDk0NjE3Mjg5XzIzMjE0MTEyMzc5NDgyNDg=', 'time': 1564716494, 'message': 'มีกีตอนละคะนี้บอกเลยว่าติดมากๆๆ', 'like': 1}, {'id': 'Y29tbWVudDoyMzIxMzg3NDk0NjE3Mjg5XzIzMjE1MTc2NTc5Mzc2MDY=', 'time': 1564722105, 'message': 'ละครสนุกมากค่ะนางเอกสวย   พระเอกก้อหล่อ', 'like': 1}]"
7,1282973728458676_2321301841292521,1564713000,https://www.facebook.com/CH3Thailand/posts/2321301841292521,วันนี้มีละครและรายการอะไรน่าสนใจบ้าง เข้ามาดูกันค่ะ #Ch3Thailand https://www.ch3thailand.com/news/scoop/17288,142,0,0,[]
8,1282973728458676_2321300934625945,1564710770,https://www.facebook.com/CH3Thailand/posts/2321300934625945,“ยกอโหสิกรรม แล้วมันล้างอายที่ฉันกับลูกฉันต้องทนได้หรือเปล่า” ดูย้อนหลัง กรงกรรม EP.26 | 01-08-62 https://www.ch3thailand.com/news/scoop/17285 #กรงกรรม #Ch3Thailand #กรงกรรมep26,124,2,0,[]
9,1282973728458676_2321196514636387,1564707600,https://www.facebook.com/CH3Thailand/posts/2321196514636387,"""ขอเฝ้าติดตามเธออันเป็นที่รักทุกชาติภพ เพื่อไขข้องความเข้าใจผิดของเธอ เพื่อจักบอกว่า ลูกไม่เคยทรยศรักของเธอเลย ลูกรักเธอคนเดียว"" ดูย้อนหลัง สัตยาธิษฐาน EP.01 | 01-08-62 https://www.ch3thailand.com/news/scoop/17286 #สัตยาธิษฐาน #Ch3Thailand #สัตยาธิษฐานep1",425,12,12,"[{'id': 'Y29tbWVudDoyMzIxMTk2NTE0NjM2Mzg3XzIzMjEyNDMwODc5NjUwNjM=', 'time': 1564707896, 'message': 'เอาจริงๆนะ ช่อง 3 ทำแต่ละครข้ามภพข้ามชาติ ตอนนี้เริ่มเดาได้และ จะเกิดอะไรต่อไป ทำให้หลากหลายค่ะ จะได้ไม่น่าเบื่อค่ะ', 'like': 4}, {'id': 'Y29tbWVudDoyMzIxMTk2NTE0NjM2Mzg3XzIzMjEyODI4ODEyOTQ0MTc=', 'time': 1564709954, 'message': 'ดูตอนย้อนกลับไปอดีตชาติกำลังสนุกๆ ดันฉายกลับมาปัจจุบัน หมดอารมณ์เลย ๆ เลิกดูต่อ มันเสียอารมณ์แล้ว', 'like': 0}]"
